adultery,lie,sex,,,,,,
age,time,season,year,,,,,
air,wind,,,,,,,
altar,priest,god,,,,,,
ambush,deceit,attack,,,,,,
anchor,ship,,,,,,,
anger,murder,,,,,,,
animal,livestock,meat,,,,,,
ankle,foot,,,,,,,
anvil,hammer,,,,,,,
anxiety,regret,danger,fear,"grief, sorrow, sadness",,,,
"area, region",,,,,,,,
arm,hand,wing,wrist,five,branch,,,
armor,,,,,,,,
army,,,,,,,,
arrow,bow,"weapons, arms",,,,,,
arson,fire,ash,crime,,,,,
ash,fire,,,,,,,
attack,,,,,,,,
awl,tool,,,,,,,
ax,tool,,,,,,,
axle,wheel,,,,,,,
back,spine,,,,,,,
bark,tree,"skin, hide",shell,leather,,,,
basket,beehive,,,,,,,
bead,seed,,,,,,,
beak,nose,tooth,mouth,lip,"headland, point",,,
beam,"post, pole",,,,,,,
bean,vegetables,,,,,,,
beard,chin,,,,,,,
bed,stretcher,table,lair,couch,bench,desk,bier,
bee,wasp,honey,beehive,,,,,
beehive,bee,honey,basket,,,,,
beer,"beverage, drink",,,,,,,
beggar,hunger,thirst,"remains, left overs",,,,,
belly,,,,,,,,
"belt, girdle",bracelet,waist,,,,,,
bench,bed,table,,,,,,
"beverage, drink",water,"cup, drinking vessel",beer,wine,mead,milk,river,sap
bier,corpse,death,couch,,,,,
blame,fault,,,,,,,
blood,murder,corpse,death,,,,,
body,flesh,corpse,meat,,,,,
body hair,fur,pubic hair,head hair,wool,feather,,,
bone,"remains, left overs",,,,,,,
book,"idea, notion",paper,word,,,,,
boot,shoe,,,,,,,
"booty, spoils",coin,gold,,,,,,
bottom,floor,buttocks,,,,,,
boundary,,,,,,,,
bow,arrow,"weapons, arms",,,,,,
bowl,cup,plate,gourd,,,,,
bracelet,"belt, girdle",wrist,jewel,"ornament, adornment",,,,
brain,mind,,,,,,,
branch,tree,firewood,forked branch,hand,arm,,,
bread,dough,,,,,,,
breakfest,meal,,,,,,,
breast,chest,,,,,,,
breath,"smell, scent",divine breath,wind,air,lung,,,
bridge,river,"mountain, hill",,,,,,
broom,brush,rake,tool,,,,,
brush,comb,broom,,,,,,
butter,grease,oil,,,,,,
buttocks,bottom,hip,thigh,,,,,
button,"clothing, clothes",,,,,,,
calf of leg,leg,,,,,,,
candle,"lamp, torch",light,fire,,,,,
carpenter,wood,,,,,,,
"carriage, wagon, cart",wheel,axle,yoke,,,,,
cause,fault,blame,,,,,,
cave,hole,"grave, tomb",ditch,,,,,
center,place,,,,,,,
chain,rope,,,,,,,
chair,table,,,,,,,
cheek,face,tongue,,,,,,
cheese,milk,,,,,,,
chest,breast,,,,,,,
chimney,smoke,,,,,,,
chin,jaw,beard,cheek,,,,,
chisel,tool,,,,,,,
circle,shape,,,,,,,
"citizen, subject",country,"city, town",village,"tribe, clan",,,,
"city, town",village,,,,,,,
claw,fingernail,animal,hand,,,,,
clay,earth (soil),potter,mud,swamp,,,,
"cliff, precipice","mountain, hill","stone, rock",reef,,,,,
cloak,"clothing, clothes",,,,,,,
"clock, timepiece",time,hour,,,,,,
cloth,"clothing, clothes",silk,"linen, flax",wool,cotton,dye,felt,
"clothing, clothes",cloth,,,,,,,
cloud,sky,rain,,,,,,
club,"staff, walking stick","post, pole",,,,,,
coat,"clothing, clothes",,,,,,,
coin,debt,,,,,,,
collar,"clothing, clothes",,,,,,,
color,dye,paint,,,,,,
comb,brush,rake,,,,,,
"conspiracy, plot",deceit,lie,enemy,,,,,
"copper, bronze",sword,"tin, tinplate",,,,,,
corner,edge,,,,,,,
corpse,"grave, tomb",death,body,flesh,,,,
cotton,plant,,,,,,,
couch,bed,bier,,,,,,
country,earth (land),earth (soil),native country,place,world,village,mainland,
crime,murder,rape,perfidy,adultery,arson,,,
"crop, harvest",field (farm),farmer,,,,,,
cross,shape,,,,,,,
"cup, drinking vessel","beverage, drink",bowl,,,,,,
current,flow,river,,,,,,
custom,country,,,,,,,
danger,anxiety,fear,,,,,,
darkness,night,ambush,deceit,moon,,,,
dawn,sun,,,,,,,
day,sun,light,time,world,season,,,
debt,coin,,,,,,,
deceit,perjury,,,,,,,
defeat,death,,,,,,,
defendant,defense,,,,,,,
defense,fortress,,,,,,,
demon (evil spirit),,,,,,,,
device,loom,mill,tool,,,,,
dinner,meal,,,,,,,
discourse,demon (evil spirit),,,,,,,
ditch,furrow,hole,cave,"grave, tomb",,,,
divine breath,supernatural power,god,,,,,,
"door, gate",,,,,,,,
dorsal fin,wing,,,,,,,
doubt,discourse,,,,,,,
dough,bread,,,,,,,
dream,bed,,,,,,,
dress,"clothing, clothes",,,,,,,
dusk,night,evening,darkness,,,,,
dust,smoke,flour,mud,,,,,
dye,cloth,color,paint,,,,,
ear,,,,,,,,
earth (land),world,earth (soil),country,floor,place,mainland,,
earth (soil),earth (land),clay,floor,world,country,mainland,,
east,sun,,,,,,,
edge,end,side,boundary,shore,lip,mouth,,
elbow,joint,arm,,,,,,
end,edge,place,,,,,,
end (temporal),,,,,,,,
enemy,deceit,lie,,,,,,
entertainment,humour,,,,,,,
"envy, jealousy",anger,,,,,,,
evening,"noon, midday",night,dusk,,,,,
excrement,manure,,,,,,,
eye,face,,,,,,,
face,jaw,cheek,eye,forehead,,,,
"fairy, elf",,,,,,,,
farmer,field (farm),,,,,,,
fat,lard,grease,oil,,,,,
fault,blame,,,,,,,
fear,anxiety,danger,,,,,,
feather,body hair,head hair,pubic hair,pen,wool,,,
feelings,heart,mind,seat of will,,,,,
felt,,,,,,,,
