Lexicon
broooolarab (/bⱱ̟ɯː.ʎ̯ɑ.ⱱ̟ä̆b/)
	 n. wind
bledaalooolg (/bɺø̆.ɖɐː.ʎ̯ɪ̈.ʌ̆ɺɢ/)
	 n. soup
blii (/bɺyːʏ̟ː̯/)
	 n. language
bloolola (/bɺ̢ɯ.ɺ̢ɤ̞̆.ʎ̯ɐ/)
	 n. account
blur (/bɺ̢əⱱ̟/)
	 n. stomach
bladliilblabi (/bʎ̯ɜ.ɖɺyːɺ.b̪ɺɑ̆.by̆/)
	 n. sheep
boolb (/bɯ̆ɺ̢b̪/)
	 n. statement
boodeb (/bɯ.døb/)
	 n. school
boodlooloo (/bɨ̆.dʟ̠̆ʌː.ɺɨ̆/)
	 n. reading
bil (/by̆ʟ̠̆/)
	 n. hair
boolor (/bɯ̞ː.ʟ̠̆ʌ̆ⱱ̟/)
	 n. tendency
bool (/bɪ̈̆ʎ̯/)
	 n. change
biilbolblibrool (/bʏ̟ːʟ̠̆.b̪ʌ̆ɺ̢.bɺʏ̟̆.b̪ⱱ̟ɤːʟ̠̆/)
	 n. power
bord (/bɤⱱ̟ɖ/)
	 n. attraction
bud (/bɘ̆d/)
	 n. sail
begrobool (/bø̆.ɟⱱ̟ɤ̞.b̪ɯ̆ʎ̯/)
	 n. twist
boblogralel (/bɤ̞̆.bʟ̠̆ʌ̆.ɢⱱ̟ɑ.ʎ̯œɺ/)
	 n. relation
boluglilo (/bɤ̞̆.ʎ̯ɘ.ɢɺ̢y.ɺ̢ɤ/)
	 n. shock
buuelg (/bə.ɘ̆.œ̆ʎ̯ɟ/)
	 n. drawer
booldaalalee (/bʌːʎ̯.dɑː.ʟ̠̆ʌ̞̆.ɺ̢øː/)
	 n. drop
booaaroo (/bʌː.ɜː.ⱱ̟ɤː/)
	 n. chest
beloooorlalbel (/bœ̆.ɺɯː.ⱱ̟ʎ̯ɶɺ.b̪ø̆ʎ̯/)
	 n. point
bellarluldeeg (/bœ̆.ɺ̢ɺ̢ɐ̆.ⱱ̟ɺə̆ɺ.ɖøːɢ/)
	 n. noise
belaliild (/bœ.ʟ̠̆ɐ.ɺ̢ʏ̟ːʎ̯ɖ/)
	 n. eye
balluulol (/bʌ̞̆.ɺ̢ʎ̯əː.ɺʌ̆ʟ̠̆/)
	 n. worm
balloablool (/bʌ̞̆.ʎ̯ɺ̢ɯ̞œ̞̯.bʟ̠̆ɤːʎ̯/)
	 n. copy
bagoodoooolbub (/bœ̞̆.ɟɨ.dɪ̈ːɺ.bəb̪/)
	 n. library
balaaleea (/bœ̞̆.ʎ̯ɑː.ɺ̢øː.ä/)
	 n. answer
bada (/bɑ̆.dʌ̞/)
	 n. surprise
balleld (/bɶ̆.ʟ̠̆ɺø̞̆ɺ̢ɖ/)
	 n. rest
baaoolbooaal (/bɶː.ɯʎ̯.b̪ɪ̈̆.ɜːʟ̠̆/)
	 n. science
roolloolbooga (/ⱱ̟ɨ.ʟ̠̆ɺ̢ʌːɺ̢.b̪ɯ̆.ɟʌ̞/)
	 n. suggestion
rooliibliilgo (/ⱱ̟ɪ̈̆.ʎ̯yː.b̪ʎ̯yːʏ̟ː̯ʎ̯.ɢʌ/)
	 n. humor
riirgurooooob (/ⱱ̟ʏ̟ːⱱ̟.ɟɘ.ⱱ̟ʌ̆.ɪ̈ːb̪/)
	 n. structure
rudarb (/ⱱ̟ɘ.dɐ̆ⱱ̟b/)
	 n. tray
relgidlalaa (/ⱱ̟øʎ̯.ɢʏ̟̆.ɖʎ̯ɜ̆.ɺɑː/)
	 n. cake
rola (/ⱱ̟ɤ̞.ʎ̯ɜ/)
	 n. slip
ruloirb (/ⱱ̟ə.ɺ̢ɤ̞.yⱱ̟b̪/)
	 n. basket
regoollarla (/ⱱ̟ø̞̆.ɟɤː.ɺ̢ʟ̠̆ɑ.ⱱ̟ɺ̢ɶ̆/)
	 n. manager
reeliii (/ⱱ̟ø̞ː.ʟ̠̆ʏ̟ː.y/)
	 n. thought
roor (/ⱱ̟ʌːⱱ̟/)
	 n. mass
rar (/ⱱ̟ɜⱱ̟/)
	 n. pipe
re (/ⱱ̟œ/)
	 n. punishment
relaal (/ⱱ̟œ.ʎ̯ɶːʎ̯/)
	 n. family
raablole (/ⱱ̟ɐː.bʎ̯ɤ̆.ɺœ/)
	 n. camera
raaaole (/ⱱ̟œ̞.ɐː.ʌ.ʎ̯ø̞̆/)
	 n. ear
raludol (/ⱱ̟ɶ.ʎ̯ə.ɖɤ̞̆ɺ/)
	 n. angle
roaloolaelb (/ⱱ̟ɯ̞œ̞̯.ʟ̠̆ɪ̈.ʎ̯œ̞̆ø̞̯̆ʟ̠̆b̪/)
	 n. attention
